ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	TURCHINID	INFOMAP
2446	Wuna	grass	karopu	k a r o p u	1875	838 997 153 887 291 868	606	muna1247	1 7 5 7 1 7	AXBYBZ	KARUPY	20	20.K.C 20.A.V 20.R.C 20.U.V 20.P.C 20.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	0	1033	675
2447	Tsou	grass	sʔosʔo	s ʔ o s ʔ o	2174	89 409 887 89 409 887	606	tsou1248	3 1 7 3 1 7	ACYMBZ	SHUSHU	18	18.S.C 18.H.C 18.U.V 18.S.c 18.H.C 18.U.V	2.0 1.5 1.3 1.1 1.75 0.8	0	1031	676
2448	Nias	grass	duʔu	d u ʔ u	466	145 868 409 868	606	nias1242	1 7 1 7	AXBZ	TYHY	13	13.T.C 13.Y.V 13.H.C 13.Y.V	2.0 1.5 1.75 0.8	0	1027	673
2449	Central Amis	grass	reŋus	r e ŋ u s	2430	153 1089 801 868 89	606	amis1246	5 7 4 7 3	AXBYN	RENYS	5	5.R.C 5.E.V 5.N.C 5.Y.V 5.S.c	2.0 1.5 1.75 1.3 0.8	0	1021	674
2450	Central Amis	grass	leŋos	l e ŋ o s	2431	554 1089 801 887 89	606	amis1246	5 7 4 7 3	AXBYN	LENUS	5	5.L.C 5.E.V 5.N.C 5.U.V 5.S.c	2.0 1.5 1.75 1.3 0.8	0	1021	674
2451	Banoni	grass	gogorini	ɡ o ɡ o r i n i	2680	831 887 831 887 153 1076 107 1076	606	bann1247	1 7 1 7 5 7 4 7	AXBYBYBZ	KUKURINI	2	2.K.C 2.U.V 2.K.C 2.U.V 2.R.C 2.I.V 2.N.C 2.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	1018	681
2452	Singhi	grass	dux	d u x	-466	145 868 778	606	baub1235	1 7 3	AXN	TYG	15	15.T.C 15.Y.V 15.G.c	2.0 1.5 0.8	0	1029	673
2453	Banggi	grass	rihut	r i h u t	75	153 1076 405 868 120	606	bong1289	5 7 3 7 1	AXBYN	RIHYT	1	1.R.C 1.I.V 1.H.C 1.Y.V 1.T.c	2.0 1.5 1.75 1.3 0.8	0	1017	671
3143	Maloh	green	mamata	m a m a t a	85	241 997 241 997 120 997	1425	emba1238	4 7 4 7 1 7	AXBYBZ	MAMATA	10	10.M.C 10.A.V 10.M.C 10.A.V 10.T.C 10.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	1043	682
3144	Merina_Malagasy	green	maitso	m a i t s o	-618	241 997 1076 120 89 887	1425	plat1254	4 7 7 1 3 7	AXYBCZ	MAITSU	11	11.M.C 11.A.V 11.I.V 11.T.C 11.S.C 11.U.V	2.0 1.5 1.3 1.75 1.5 0.8	0	1044	691
3145	Thao	green	madishlum	m a d i s h l u m	1233	241 997 145 1076 89 405 554 868 241	1425	thao1240	4 7 1 7 3 3 5 7 4	AXBYMBCYN	MATISHLYM	17	17.M.C 17.A.V 17.T.C 17.I.V 17.S.c 17.H.C 17.L.C 17.Y.V 17.M.c	2.0 1.5 1.75 1.3 1.1 1.75 1.5 1.3 0.8	0	1044	687
3146	Palauan	green	bedeŋel#a#biːb	b e d e ŋ e l _ a _ b iː b	1358	257 1089 145 1089 801 1089 554 1190 997 1190 257 1068 257	1425	pala1344	1 7 1 7 4 7 5 9 7 9 1 7 1	AXBYBYN_X_AXN	PETENEL_A_PIP	14	14.P.C 14.E.V 14.T.C 14.E.V 14.N.C 14.E.V 14.L.c 14._._ 14.A.V 14._._ 14.P.C 14.I.V 14.P.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8 0.0 1.5 0.0 2.0 1.5 0.8	0	1046	689
3147	Tunjung	green	nahum	n a h u m	1458	107 997 405 868 241	1425	tunj1244	4 7 3 7 4	AXBYN	NAHYM	19	19.N.C 19.A.V 19.H.C 19.Y.V 19.M.c	2.0 1.5 1.75 1.3 0.8	0	1051	685
3148	Bare'e	green	malaumbe	m a l a u m b e	1538	241 997 554 997 868 241 257 1089	1425	pamo1252	4 7 5 7 7 4 1 7	AXBYYMBZ	MALAYMPE	3	3.M.C 3.A.V 3.L.C 3.A.V 3.Y.V 3.M.c 3.P.C 3.E.V	2.0 1.5 1.75 1.3 1.3 1.1 1.75 0.8	0	1037	696
3149	Iban	green	ijau	i j a u	618	1076 570 997 868	1425	iban1264	7 6 7 7	XBYZ	IJAY	8	8.I.V 8.J.C 8.A.V 8.Y.V	1.5 1.75 1.3 0.8	0	1041	692
3150	Berawan_Long_Terawan	green	gaduŋ	ɡ a d u ŋ	783	831 997 145 868 801	1425	west2564	1 7 1 7 4	AXBYN	KATYN	4	4.K.C 4.A.V 4.T.C 4.Y.V 4.N.c	2.0 1.5 1.75 1.3 0.8	0	1038	695
3151	Moken	green	ŋomoːŋ	ŋ o m oː ŋ	1769	801 887 241 880 801	1425	moke1242	4 7 4 7 4	AXBYN	NUMUN	12	12.N.C 12.U.V 12.M.C 12.U.V 12.N.c	2.0 1.5 1.75 1.3 0.8	0	1045	690
3152	Hanunoo	green	latuj	l a t u j	1839	554 997 120 868 570	1425	hanu1241	5 7 1 7 6	AXBYN	LATYJ	7	7.L.C 7.A.V 7.T.C 7.Y.V 7.J.c	2.0 1.5 1.75 1.3 0.8	0	1040	693
3153	Wuna	green	nofeido	n o f e i d o	-618	107 887 452 1089 1076 145 887	1425	muna1247	4 7 3 7 7 1 7	AXBYYBZ	NUBEITU	20	20.N.C 20.U.V 20.B.C 20.E.V 20.I.V 20.T.C 20.U.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	0	1052	684
3154	Tetum	green	matak	m a t a k	85	241 997 120 997 838	1425	tetu1246	4 7 1 7 1	AXBYN	MATAK	16	16.M.C 16.A.V 16.T.C 16.A.V 16.K.c	2.0 1.5 1.75 1.3 0.8	0	1044	682
3155	Mailu	green	korakorara	k o r a k o r a r a	2046	838 887 153 997 838 887 153 997 153 997	1425	mail1248	1 7 5 7 1 7 5 7 5 7	AXBYBYBYBZ	KURAKURARA	9	9.K.C 9.U.V 9.R.C 9.A.V 9.K.C 9.U.V 9.R.C 9.A.V 9.R.C 9.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	0	1042	698
3156	Tsou	green	riŋhova	r i ŋ h o v a	2197	153 1076 801 405 887 451 997	1425	tsou1248	5 7 4 3 7 3 7	AXMBYBZ	RINHUBA	18	18.R.C 18.I.V 18.N.c 18.H.C 18.U.V 18.B.C 18.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	1050	686
3157	Central Amis	green	kaŋrawaj	k a ŋ r a w a j	2467	838 997 801 153 997 462 997 570	1425	amis1246	1 7 4 5 7 6 7 6	AXBCYBYN	KANRAWAJ	5	5.K.C 5.A.V 5.N.C 5.R.C 5.A.V 5.W.C 5.A.V 5.J.c	2.0 1.5 1.75 1.5 1.3 1.75 1.3 0.8	0	1039	694
3158	Central Amis	green	kaŋdaw	k a ŋ d a w	2468	838 997 801 145 997 462	1425	amis1246	1 7 4 1 7 6	AXMBYN	KANTAW	5	5.K.C 5.A.V 5.N.c 5.T.C 5.A.V 5.W.c	2.0 1.5 1.1 1.75 1.3 0.8	0	1039	683
3159	Banoni	green	bubune	b u b u n e	2714	257 868 257 868 107 1089	1425	bann1247	1 7 1 7 4 7	AXBYBZ	PYPYNE	2	2.P.C 2.Y.V 2.P.C 2.Y.V 2.N.C 2.E.V	2.0 1.5 1.75 1.3 1.75 0.8	0	1036	697
3160	Singhi	green	idip	i d i p	2812	1076 145 1076 291	1425	baub1235	7 1 7 1	XBYN	ITIP	15	15.I.V 15.T.C 15.I.V 15.P.c	1.5 1.75 1.3 0.8	1	1047	688
501	Maloh	hair	buk	b u k	252	257 868 838	1040	emba1238	1 7 1	AXN	PYK	10	10.P.C 10.Y.V 10.K.c	2.0 1.5 0.8	0	1057	699
502	Merina_Malagasy	hair	volo	v o l o	-126	451 887 554 887	1040	plat1254	3 7 5 7	AXBZ	BULU	11	11.B.C 11.U.V 11.L.C 11.U.V	2.0 1.5 1.75 0.8	1	1063	700
503	Thao	hair	fukish	f u k i s h	252	452 868 838 1076 89 405	1040	thao1240	3 7 1 7 3 3	AXBYLN	BYKISH	17	17.B.C 17.Y.V 17.K.C 17.I.V 17.S.c 17.H.c	2.0 1.5 1.75 1.3 1.1 0.8	0	1057	701
504	Palauan	hair	cʰui	cʰ u i	-252	604 868 1076	1040	pala1344	1 7 7	AXZ	CYI	14	14.C.C 14.Y.V 14.I.V	2.0 1.5 0.8	0	1066	705
505	Tunjung	hair	alaw	a l a w	677	997 554 997 462	1040	tunj1244	7 5 7 6	XBYN	ALAW	19	19.A.V 19.L.C 19.A.V 19.W.c	1.5 1.75 1.3 0.8	0	1071	703
506	Bare'e	hair	wujua	w u j u a	-126	462 868 570 868 997	1040	pamo1252	6 7 6 7 7	AXBYZ	WYJYA	3	3.W.C 3.Y.V 3.J.C 3.Y.V 3.A.V	2.0 1.5 1.75 1.3 0.8	0	1055	700
507	Iban	hair	bok	b o k	252	257 887 838	1040	iban1264	1 7 1	AXN	PUK	8	8.P.C 8.U.V 8.K.c	2.0 1.5 0.8	0	1057	699
508	Berawan_Long_Terawan	hair	puʔ	p u ʔ	252	291 868 409	1040	west2564	1 7 1	AXN	PYH	4	4.P.C 4.Y.V 4.H.c	2.0 1.5 0.8	0	1056	699
509	Moken	hair	buloj	b u l o j	1711	257 868 554 887 570	1040	moke1242	1 7 5 7 6	AXBYN	PYLUJ	12	12.P.C 12.Y.V 12.L.C 12.U.V 12.J.c	2.0 1.5 1.75 1.3 0.8	0	1064	700
510	Hanunoo	hair	buhuk	b u h u k	252	257 868 405 868 838	1040	hanu1241	1 7 3 7 1	AXBYN	PYHYK	7	7.P.C 7.Y.V 7.H.C 7.Y.V 7.K.c	2.0 1.5 1.75 1.3 0.8	0	1056	699
511	Wuna	hair	vulu#no#fotu	v u l u _ n o _ f o t u	126	451 868 554 868 1190 107 887 1190 452 887 120 868	1040	muna1247	3 7 5 7 9 4 7 9 3 7 1 7	AXBZ_AX_AXBZ	BYLY_NU_BUTY	20	20.B.C 20.Y.V 20.L.C 20.Y.V 20._._ 20.N.C 20.U.V 20._._ 20.B.C 20.U.V 20.T.C 20.Y.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	1063	702
512	Tetum	hair	fuːk	f uː k	252	452 860 838	1040	tetu1246	3 7 1	AXN	BYK	16	16.B.C 16.Y.V 16.K.c	2.0 1.5 0.8	0	1057	699
513	Mailu	hair	limuː	l i m uː	441	554 1076 241 860	1040	mail1248	5 7 4 7	AXBZ	LIMY	9	9.L.C 9.I.V 9.M.C 9.Y.V	2.0 1.5 1.75 0.8	0	1061	706
514	Tsou	hair	fʔʉ́sʉ	f ʔ ʉ s ʉ	252	452 409 968 89 968	1040	tsou1248	3 1 7 3 7	ACYBZ	BHYSY	18	18.B.C 18.H.C 18.Y.V 18.S.C 18.Y.V	2.0 1.5 1.3 1.75 0.8	0	1056	704
515	Nias	hair	bu	b u	252	257 868	1040	nias1242	1 7	AX	PY	13	13.P.C 13.Y.V	2.0 1.5	1	1065	699
516	Central Amis	hair	fukes	f u k e s	252	452 868 838 1089 89	1040	amis1246	3 7 1 7 3	AXBYN	BYKES	5	5.B.C 5.Y.V 5.K.C 5.E.V 5.S.c	2.0 1.5 1.75 1.3 0.8	0	1057	701
517	Chamorro	hair	gapotulu	ɡ a p o t u l u	126	831 997 291 887 120 868 554 868	1040	cham1312	1 7 1 7 1 7 5 7	AXBYBYBZ	KAPUTYLY	6	6.K.C 6.A.V 6.P.C 6.U.V 6.T.C 6.Y.V 6.L.C 6.Y.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	1058	700
518	Chamorro	hair	pulu	p u l u	586	291 868 554 868	1040	cham1312	1 7 5 7	AXBZ	PYLY	6	6.P.C 6.Y.V 6.L.C 6.Y.V	2.0 1.5 1.75 0.8	1	1064	700
519	Banoni	hair	punu	p u n u	586	291 868 107 868	1040	bann1247	1 7 4 7	AXBZ	PYNY	2	2.P.C 2.Y.V 2.N.C 2.Y.V	2.0 1.5 1.75 0.8	0	1054	699
520	Singhi	hair	boek	b o e k	252	257 887 1089 838	1040	baub1235	1 7 7 1	AXYN	PUEK	15	15.P.C 15.U.V 15.E.V 15.K.c	2.0 1.5 1.3 0.8	0	1057	699
521	Banggi	hair	obuk	o b u k	252	887 257 868 838	1040	bong1289	7 1 7 1	XBYN	UPYK	1	1.U.V 1.P.C 1.Y.V 1.K.c	1.5 1.75 1.3 0.8	0	1053	699
1	Maloh	hand	taŋan	t a ŋ a n	155	120 997 801 997 107	1277	emba1238	1 7 4 7 4	AXBYN	TANAN	10	10.T.C 10.A.V 10.N.C 10.A.V 10.N.c	2.0 1.5 1.75 1.3 0.8	0	1078	707
2	Merina_Malagasy	hand	tanana	t a n a n a	155	120 997 107 997 107 997	1277	plat1254	1 7 4 7 4 7	AXBYBZ	TANANA	11	11.T.C 11.A.V 11.N.C 11.A.V 11.N.C 11.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	1078	707
3	Thao	hand	rima	r i m a	446	153 1076 241 997	1277	thao1240	5 7 4 7	AXBZ	RIMA	17	17.R.C 17.I.V 17.M.C 17.A.V	2.0 1.5 1.75 0.8	0	1085	708
4	Palauan	hand	cʰim	cʰ i m	446	604 1076 241	1277	pala1344	1 7 4	AXN	CIM	14	14.C.C 14.I.V 14.M.c	2.0 1.5 0.8	0	1075	713
5	Tunjung	hand	aŋaʔ	a ŋ a ʔ	155	997 801 997 409	1277	tunj1244	7 4 7 1	XBYN	ANAH	19	19.A.V 19.N.C 19.A.V 19.H.c	1.5 1.75 1.3 0.8	0	1088	707
6	Bare'e	hand	pale	p a l e	1484	291 997 554 1089	1277	pamo1252	1 7 5 7	AXBZ	PALE	3	3.P.C 3.A.V 3.L.C 3.E.V	2.0 1.5 1.75 0.8	0	1073	716
7	Iban	hand	taŋan	t a ŋ a n	155	120 997 801 997 107	1277	iban1264	1 7 4 7 4	AXBYN	TANAN	8	8.T.C 8.A.V 8.N.C 8.A.V 8.N.c	2.0 1.5 1.75 1.3 0.8	0	1078	707
8	Iban	hand	jari	j a r i	1556	570 997 153 1076	1277	iban1264	6 7 5 7	AXBZ	JARI	8	8.J.C 8.A.V 8.R.C 8.I.V	2.0 1.5 1.75 0.8	0	1091	711
9	Berawan_Long_Terawan	hand	tisu	t i s u	481	120 1076 89 868	1277	west2564	1 7 3 7	AXBZ	TISY	4	4.T.C 4.I.V 4.S.C 4.Y.V	2.0 1.5 1.75 0.8	0	1074	709
10	Berawan_Long_Terawan	hand	isu	i s u	481	1076 89 868	1277	west2564	7 3 7	XBZ	ISY	4	4.I.V 4.S.C 4.Y.V	1.5 1.75 0.8	0	1090	709
11	Hanunoo	hand	kamaŋ	k a m a ŋ	1796	838 997 241 997 801	1277	hanu1241	1 7 4 7 4	AXBYN	KAMAN	7	7.K.C 7.A.V 7.M.C 7.A.V 7.N.c	2.0 1.5 1.75 1.3 0.8	0	1075	710
12	Wuna	hand	lima	l i m a	446	554 1076 241 997	1277	muna1247	5 7 4 7	AXBZ	LIMA	20	20.L.C 20.I.V 20.M.C 20.A.V	2.0 1.5 1.75 0.8	0	1085	708
13	Tetum	hand	liman	l i m a n	446	554 1076 241 997 107	1277	tetu1246	5 7 4 7 4	AXBYN	LIMAN	16	16.L.C 16.I.V 16.M.C 16.A.V 16.N.c	2.0 1.5 1.75 1.3 0.8	0	1085	708
14	Mailu	hand	ima	i m a	446	1076 241 997	1277	mail1248	7 4 7	XBZ	IMA	9	9.I.V 9.M.C 9.A.V	1.5 1.75 0.8	0	1079	714
15	Tsou	hand	mucu	m u c u	350	241 868 606 868	1277	tsou1248	4 7 1 7	AXBZ	MYCY	18	18.M.C 18.Y.V 18.C.C 18.Y.V	2.0 1.5 1.75 0.8	0	1087	712
16	Nias	hand	taŋa	t a ŋ a	155	120 997 801 997	1277	nias1242	1 7 4 7	AXBZ	TANA	13	13.T.C 13.A.V 13.N.C 13.A.V	2.0 1.5 1.75 0.8	0	1078	707
17	Central Amis	hand	kamaj	k a m a j	19	838 997 241 997 570	1277	amis1246	1 7 4 7 6	AXBYN	KAMAJ	5	5.K.C 5.A.V 5.M.C 5.A.V 5.J.c	2.0 1.5 1.75 1.3 0.8	0	1075	710
18	Chamorro	hand	kanːai	k a nː a i	2515	838 997 106 997 1076	1277	cham1312	1 7 4 7 7	AXBYZ	KANAI	6	6.K.C 6.A.V 6.N.C 6.A.V 6.I.V	2.0 1.5 1.75 1.3 0.8	0	1076	715
19	Banoni	hand	numa	n u m a	446	107 868 241 997	1277	bann1247	4 7 4 7	AXBZ	NYMA	2	2.N.C 2.Y.V 2.M.C 2.A.V	2.0 1.5 1.75 0.8	0	1072	708
20	Singhi	hand	toŋan	t o ŋ a n	155	120 887 801 997 107	1277	baub1235	1 7 4 7 4	AXBYN	TUNAN	15	15.T.C 15.U.V 15.N.C 15.A.V 15.N.c	2.0 1.5 1.75 1.3 0.8	0	1078	707
3830	Maloh	he/she	ia	i a	536	1076 997	262	emba1238	7 7	XZ	IA	10	10.I.V 10.A.V	1.5 0.8	0	1099	718
3831	Merina_Malagasy	he/she	izj	i z j	536	1076 80 570	262	plat1254	7 3 6	XBC	ISJ	11	11.I.V 11.S.C 11.J.C	1.5 1.75 1.5	1	1102	723
3832	Thao	he/she	cicu	c i c u	1246	606 1076 606 868	262	thao1240	1 7 1 7	AXBZ	CICY	17	17.C.C 17.I.V 17.C.C 17.Y.V	2.0 1.5 1.75 0.8	0	1108	727
3833	Palauan	he/she	ŋii	ŋ i i	536	801 1076 1076	262	pala1344	4 7 7	AXZ	NII	14	14.N.C 14.I.V 14.I.V	2.0 1.5 0.8	0	1093	718
3834	Tunjung	he/she	isaʔ	i s a ʔ	536	1076 89 997 409	262	tunj1244	7 3 7 1	XBYN	ISAH	19	19.I.V 19.S.C 19.A.V 19.H.c	1.5 1.75 1.3 0.8	0	1102	728
3835	Bare'e	he/she	siʔa	s i ʔ a	536	89 1076 409 997	262	pamo1252	3 7 1 7	AXBZ	SIHA	3	3.S.C 3.I.V 3.H.C 3.A.V	2.0 1.5 1.75 0.8	0	1094	721
3836	Iban	he/she	ia	i a	349	1076 997	262	iban1264	7 7	XZ	IA	8	8.I.V 8.A.V	1.5 0.8	0	1099	718
3837	Berawan_Long_Terawan	he/she	nʲih	nʲ i h	200	101 1076 405	262	west2564	4 7 3	AXN	NIH	4	4.N.C 4.I.V 4.H.c	2.0 1.5 0.8	0	1095	717
3838	Moken	he/she	ʔolaːŋ	ʔ o l aː ŋ	1786	409 887 554 1004 801	262	moke1242	1 7 5 7 4	AXBYN	HULAN	12	12.H.C 12.U.V 12.L.C 12.A.V 12.N.c	2.0 1.5 1.75 1.3 0.8	1	1103	724
3839	Moken	he/she	nʲaː	nʲ aː	536	101 1004	262	moke1242	4 7	AX	NA	12	12.N.C 12.A.V	2.0 1.5	0	1093	717
3840	Hanunoo	he/she	sija	s i j a	536	89 1076 570 997	262	hanu1241	3 7 6 7	AXBZ	SIJA	7	7.S.C 7.I.V 7.J.C 7.A.V	2.0 1.5 1.75 0.8	0	1098	722
3841	Wuna	he/she	anoa	a n o a	600	997 107 887 997	262	muna1247	7 4 7 7	XBYZ	ANUA	20	20.A.V 20.N.C 20.U.V 20.A.V	1.5 1.75 1.3 0.8	0	1110	729
3842	Tetum	he/she	nia	n i a	536	107 1076 997	262	tetu1246	4 7 7	AXZ	NIA	16	16.N.C 16.I.V 16.A.V	2.0 1.5 0.8	1	1093	718
3843	Mailu	he/she	no	n o	2078	107 887	262	mail1248	4 7	AX	NU	9	9.N.C 9.U.V	2.0 1.5	0	1093	717
3844	Nias	he/she	jaʔia	j a ʔ i a	536	570 997 409 1076 997	262	nias1242	6 7 1 7 7	AXBYZ	JAHIA	13	13.J.C 13.A.V 13.H.C 13.I.V 13.A.V	2.0 1.5 1.75 1.3 0.8	0	1104	725
3845	Central Amis	he/she	ciŋra	c i ŋ r a	2503	606 1076 801 153 997	262	amis1246	1 7 4 5 7	AXBCZ	CINRA	5	5.C.C 5.I.V 5.N.C 5.R.C 5.A.V	2.0 1.5 1.75 1.5 0.8	0	1096	720
3846	Central Amis	he/she	ciŋra	c i ŋ r a	2504	606 1076 801 153 997	262	amis1246	1 7 4 5 7	AXBCZ	CINRA	5	5.C.C 5.I.V 5.N.C 5.R.C 5.A.V	2.0 1.5 1.75 1.5 0.8	1	1096	720
3847	Chamorro	he/she	guija	ɡ u i j a	536	831 868 1076 570 997	262	cham1312	1 7 7 6 7	AXYBZ	KYIJA	6	6.K.C 6.Y.V 6.I.V 6.J.C 6.A.V	2.0 1.5 1.3 1.75 0.8	0	1097	719
3848	Banoni	he/she	nːa	nː a	584	106 997	262	bann1247	4 7	AX	NA	2	2.N.C 2.A.V	2.0 1.5	0	1093	717
3849	Singhi	he/she	ijox	i j o x	536	1076 570 887 778	262	baub1235	7 6 7 3	XBYN	IJUG	15	15.I.V 15.J.C 15.U.V 15.G.c	1.5 1.75 1.3 0.8	1	1106	726
3850	Banggi	he/she	kui	k u i	2890	838 868 1076	262	bong1289	1 7 7	AXZ	KYI	1	1.K.C 1.Y.V 1.I.V	2.0 1.5 0.8	0	1092	719
460	Maloh	head	ulu	u l u	442	868 554 868	1256	emba1238	7 5 7	XBZ	YLY	10	10.Y.V 10.L.C 10.Y.V	1.5 1.75 0.8	0	1111	730
461	Merina_Malagasy	head	loha	l o h a	1062	554 887 405 997	1256	plat1254	5 7 3 7	AXBZ	LUHA	11	11.L.C 11.U.V 11.H.C 11.A.V	2.0 1.5 1.75 0.8	0	1120	730
462	Thao	head	punuq	p u n u q	552	291 868 107 868 757	1256	thao1240	1 7 4 7 1	AXBYN	PYNYK	17	17.P.C 17.Y.V 17.N.C 17.Y.V 17.K.c	2.0 1.5 1.75 1.3 0.8	0	1125	732
463	Palauan	head	klidm	k l i d m	1265	838 554 1076 145 241	1256	pala1344	1 5 7 1 4	ACXBC	KLITM	14	14.K.C 14.L.C 14.I.V 14.T.C 14.M.C	2.0 1.5 1.5 1.75 1.5	0	1122	737
464	Tunjung	head	kuhuŋ	k u h u ŋ	438	838 868 405 868 801	1256	tunj1244	1 7 3 7 4	AXBYN	KYHYN	19	19.K.C 19.Y.V 19.H.C 19.Y.V 19.N.c	2.0 1.5 1.75 1.3 0.8	0	1127	734
465	Bare'e	head	woʔo	w o ʔ o	1490	462 887 409 887	1256	pamo1252	6 7 1 7	AXBZ	WUHU	3	3.W.C 3.U.V 3.H.C 3.U.V	2.0 1.5 1.75 0.8	0	1113	740
466	Berawan_Long_Terawan	head	uloh	u l o h	442	868 554 887 405	1256	west2564	7 5 7 3	XBYN	YLUH	4	4.Y.V 4.L.C 4.U.V 4.H.c	1.5 1.75 1.3 0.8	0	1111	730
467	Hanunoo	head	ulu	u l u	442	868 554 868	1256	hanu1241	7 5 7	XBZ	YLY	7	7.Y.V 7.L.C 7.Y.V	1.5 1.75 0.8	0	1111	730
468	Wuna	head	fotu	f o t u	578	452 887 120 868	1256	muna1247	3 7 1 7	AXBZ	BUTY	20	20.B.C 20.U.V 20.T.C 20.Y.V	2.0 1.5 1.75 0.8	0	1128	733
469	Tetum	head	ulun	u l u n	442	868 554 868 107	1256	tetu1246	7 5 7 4	XBYN	YLYN	16	16.Y.V 16.L.C 16.Y.V 16.N.c	1.5 1.75 1.3 0.8	0	1111	730
470	Mailu	head	uru	u r u	442	868 153 868	1256	mail1248	7 5 7	XBZ	YRY	9	9.Y.V 9.R.C 9.Y.V	1.5 1.75 0.8	0	1111	731
471	Mailu	head	moru	m o r u	442	241 887 153 868	1256	mail1248	4 7 5 7	AXBZ	MURY	9	9.M.C 9.U.V 9.R.C 9.Y.V	2.0 1.5 1.75 0.8	0	1130	731
472	Tsou	head	fŋuu	f ŋ u u	530	452 801 868 868	1256	tsou1248	3 4 7 7	ACXZ	BNYY	18	18.B.C 18.N.C 18.Y.V 18.Y.V	2.0 1.5 1.5 0.8	0	1125	735
473	Nias	head	hõgõ	h õ ɡ õ	2234	405 883 831 883	1256	nias1242	3 7 1 7	AXBZ	HUKU	13	13.H.C 13.U.V 13.K.C 13.U.V	2.0 1.5 1.75 0.8	0	1121	738
474	Central Amis	head	taŋar	t a ŋ a r	516	120 997 801 997 153	1256	amis1246	1 7 4 7 5	AXBYN	TANAR	5	5.T.C 5.A.V 5.N.C 5.A.V 5.R.c	2.0 1.5 1.75 1.3 0.8	0	1115	739
475	Central Amis	head	fuŋoh	f u ŋ o h	530	452 868 801 887 405	1256	amis1246	3 7 4 7 3	AXBYN	BYNUH	5	5.B.C 5.Y.V 5.N.C 5.U.V 5.H.c	2.0 1.5 1.75 1.3 0.8	0	1125	732
476	Chamorro	head	ulu	u l u	442	868 554 868	1256	cham1312	7 5 7	XBZ	YLY	6	6.Y.V 6.L.C 6.Y.V	1.5 1.75 0.8	0	1111	730
477	Banoni	head	tope	t o p e	2616	120 887 291 1089	1256	bann1247	1 7 1 7	AXBZ	TUPE	2	2.T.C 2.U.V 2.P.C 2.E.V	2.0 1.5 1.75 0.8	0	1112	741
478	Singhi	head	bak	b a k	2753	257 997 838	1256	baub1235	1 7 1	AXN	PAK	15	15.P.C 15.A.V 15.K.c	2.0 1.5 0.8	0	1123	736
479	Banggi	head	ulu	u l u	442	868 554 868	1256	bong1289	7 5 7	XBZ	YLY	1	1.Y.V 1.L.C 1.Y.V	1.5 1.75 0.8	0	1111	730
2942	Maloh	heavy	borat	b o r a t	388	257 887 153 997 120	1210	emba1238	1 7 5 7 1	AXBYN	PURAT	10	10.P.C 10.U.V 10.R.C 10.A.V 10.T.c	2.0 1.5 1.75 1.3 0.8	0	1138	742
2943	Merina_Malagasy	heavy	mavésatra	m a v e s a t r a	388	241 997 451 1089 89 997 120 153 997	1210	plat1254	4 7 3 7 3 7 1 5 7	AXBYBYBCZ	MABESATRA	11	11.M.C 11.A.V 11.B.C 11.E.V 11.S.C 11.A.V 11.T.C 11.R.C 11.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.5 0.8	0	1141	742
2944	Thao	heavy	mabric	m a b r i c	-388	241 997 257 153 1076 606	1210	thao1240	4 7 1 5 7 1	AXBCYN	MAPRIC	17	17.M.C 17.A.V 17.P.C 17.R.C 17.I.V 17.C.c	2.0 1.5 1.75 1.5 1.3 0.8	0	1137	742
2945	Palauan	heavy	oberéod	o b e r e o d	-388	887 257 1089 153 1089 887 145	1210	pala1344	7 1 7 5 7 7 1	XBYBYYN	UPEREUT	14	14.U.V 14.P.C 14.E.V 14.R.C 14.E.V 14.U.V 14.T.c	1.5 1.75 1.3 1.75 1.3 1.3 0.8	0	1143	742
2946	Tunjung	heavy	bahat	b a h a t	388	257 997 405 997 120	1210	tunj1244	1 7 3 7 1	AXBYN	PAHAT	19	19.P.C 19.A.V 19.H.C 19.A.V 19.T.c	2.0 1.5 1.75 1.3 0.8	0	1142	742
2947	Bare'e	heavy	matomo	m a t o m o	1536	241 997 120 887 241 887	1210	pamo1252	4 7 1 7 4 7	AXBYBZ	MATUMU	3	3.M.C 3.A.V 3.T.C 3.U.V 3.M.C 3.U.V	2.0 1.5 1.75 1.3 1.75 0.8	0	1133	746
2948	Iban	heavy	berat	b e r a t	388	257 1089 153 997 120	1210	iban1264	1 7 5 7 1	AXBYN	PERAT	8	8.P.C 8.E.V 8.R.C 8.A.V 8.T.c	2.0 1.5 1.75 1.3 0.8	0	1138	742
